city,area,value
臺北市,中山區,123
臺北市,文山區,30
臺北市,大同區,12
臺北市,信義區,85
臺北市,南港區,29
臺北市,松山區,56
臺北市,大安區,67
臺北市,士林區,82
臺北市,北投區,60
臺北市,萬華區,24
臺北市,中正區,44
臺北市,內湖區,71
臺中市,北屯區,77
臺中市,北區,97
臺中市,西屯區,78
臺中市,西區,50
臺中市,梧棲區,2
臺中市,沙鹿區,11
臺中市,大雅區,7
臺中市,太平區,10
臺中市,大里區,15
臺中市,南屯區,38
臺中市,南區,54
臺中市,東區,95
臺中市,烏日區,14
臺南市,安南區,31
臺南市,新市區,9
臺南市,永康區,86
臺南市,安平區,30
臺南市,仁德區,15
臺南市,善化區,8
臺南市,中西區,23
臺南市,佳里區,4
高雄市,鼓山區,63
高雄市,苓雅區,29
高雄市,三民區,68
高雄市,左營區,79
高雄市,楠梓區,25
高雄市,鳳山區,87
高雄市,仁武區,20
高雄市,林園區,2
高雄市,橋頭區,1
高雄市,前鎮區,55
高雄市,前金區,4
高雄市,鳥松區,8
高雄市,小港區,8
高雄市,大社區,14
新北市,板橋區,66
新北市,林口區,40
新北市,新莊區,76
新北市,淡水區,178
新北市,中和區,98
新北市,三重區,66
新北市,新店區,42
新北市,汐止區,72
新北市,永和區,39
新北市,八里區,4
新北市,土城區,26
新北市,三峽區,14
新北市,泰山區,7
新北市,蘆洲區,20
宜蘭縣,羅東鎮,7
桃園市,桃園區,129
桃園市,蘆竹區,45
桃園市,龜山區,19
桃園市,中壢區,114
桃園市,八德區,38
桃園市,楊梅區,32
桃園市,平鎮區,26
桃園市,大園區,5
新竹縣,竹北市,40
苗栗縣,苗栗市,4
彰化縣,員林市,5
彰化縣,彰化市,3
彰化縣,二林鎮,1
新竹市,新竹市,58
嘉義縣,太保市,2
屏東縣,屏東巿,16
屏東縣,內埔鄉,2
花蓮縣,花蓮市,55
花蓮縣,吉安鄉,7
臺東縣,台東市,2
臺中市,龍井區,3
臺中市,神岡區,2
臺中市,潭子區,4
臺中市,豐原區,11
新北市,樹林區,9
宜蘭縣,宜蘭市,6
桃園市,大溪區,8
嘉義市,嘉義市,13
雲林縣,虎尾鎮,1
臺中市,清水區,3
臺南市,新營區,5
臺南市,白河區,1
臺南市,歸仁區,8
高雄市,新興區,4
高雄市,岡山區,7
高雄市,大寮區,7
高雄市,路竹區,8
新北市,五股區,11
新北市,鶯歌區,3
新竹縣,竹東鎮,2
苗栗縣,竹南鎮,1
彰化縣,溪湖鎮,2
彰化縣,鹿港鎮,2
雲林縣,斗六市,4
花蓮縣,新城鄉,1
宜蘭縣,五結鄉,1
新竹縣,新豐鄉,1
基隆市,七堵區,2
基隆市,暖暖區,1
高雄市,茄萣區,1
高雄市,湖內區,1
高雄市,鹽埕區,2
南投縣,南投市,1
嘉義縣,大林鎮,1
嘉義縣,朴子市,2
基隆市,安樂區,1
高雄市,大樹區,1
彰化縣,福興鄉,1
澎湖縣,馬公市,1
連江縣,None,0
金門縣,None,0
澎湖縣,None,0
